term,cluster_id,cluster_name
aware,1,physical
byōbu,0,conceptual
chashitsu,0,conceptual
chigaidana,0,conceptual
doma,0,conceptual
en,0,conceptual
engawa,0,conceptual
fusuma,0,conceptual
genkan,0,conceptual
haiden,0,conceptual
hisashi,0,conceptual
honden,0,conceptual
ikezuishi,0,conceptual
karesansui,0,conceptual
ma,1,physical
mu,1,physical
roji,0,conceptual
sabi,1,physical
sandō,0,conceptual
shakkei,1,physical
shimenawa,0,conceptual
shōji,0,conceptual
tokonoma,0,conceptual
tomeishi,0,conceptual
torii,0,conceptual
tsuboniwa,0,conceptual
wabi,0,conceptual
wabi_sabi,1,physical
