term,margin_abs
engawa,0.025714417237153564
tomeishi,0.028041748758575236
en,0.03166359092552379
shakkei,0.03461414413297348
ikezuishi,0.03527940637911342
karesansui,0.03744399765634293
shimenawa,0.04492368301271282
mu,0.07297602977769657
roji,0.0740158420330237
byōbu,0.0805105027282419
tsuboniwa,0.08460220003128344
sandō,0.08534220037376372
chashitsu,0.08635033901940653
torii,0.08799880481351935
fusuma,0.0993964249793099
haiden,0.10178315939427374
doma,0.10239805318274825
chigaidana,0.10340584906086792
wabi,0.1046107317780538
tokonoma,0.10533042340340398
honden,0.10545935816191987
ma,0.10747707792384797
aware,0.10852947347704334
shōji,0.10903900797310312
wabi_sabi,0.11065188622416333
hisashi,0.11288487982264389
sabi,0.11325269781280134
genkan,0.11565843227585365
